2412,1,2.4-GHz
2417,2,2.4-GHz
2422,3,2.4-GHz
2427,4,2.4-GHz
2432,5,2.4-GHz
2437,6,2.4-GHz
2442,7,2.4-GHz
2447,8,2.4-GHz
2452,9,2.4-GHz
2457,10,2.4-GHz
2462,11,2.4-GHz
2467,12,2.4-GHz
2472,13,2.4-GHz
2484,14,2.4-GHz
5180,36,5-GHz
5200,40,5-GHz
5220,44,5-GHz
5240,48,5-GHz
5260,52,5-GHz
5280,56,5-GHz
5300,60,5-GHz
5320,64,5-GHz
5500,100,5-GHz
5520,104,5-GHz
5540,108,5-GHz
5560,112,5-GHz
5580,116,5-GHz
5600,120,5-GHz
5620,124,5-GHz
5640,128,5-GHz
5660,132,5-GHz
5680,136,5-GHz
5700,140,5-GHz
5745,149,5-GHz
5765,153,5-GHz
5785,157,5-GHz
5805,161,5-GHz
5825,165,5-GHz
